uri:/instrument/1.0/A/chartdata;type=sma;range=15d/csv
ticker:a
Company-Name:Agilent Technologies, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:42.6200
range:20150406,1428327000,1428350400
range:20150407,1428413400,1428436800
range:20150408,1428499800,1428523200
range:20150409,1428586200,1428609600
range:20150410,1428672600,1428696000
range:20150413,1428931800,1428955200
range:20150414,1429018200,1429041600
range:20150415,1429104600,1429128000
range:20150416,1429191000,1429214400
range:20150417,1429277400,1429300800
range:20150420,1429536600,1429560000
range:20150421,1429623000,1429646400
range:20150422,1429709400,1429732800
range:20150423,1429795800,1429819200
range:20150424,1429882200,1429905600
Timestamp:1428327000,1429905600
labels:1428327000,1428413400,1428499800,1428586200,1428672600,1428931800,1429018200,1429104600,1429191000,1429277400,1429536600,1429623000,1429709400,1429795800,1429882200
values:Timestamp,sma
sma:42.0138,43.4254
1429642789,43.0261
1429643093,43.0223
1429643365,43.0198
1429643696,43.0162
1429643988,43.0128
1429644284,43.0100
1429644595,43.0058
1429644895,43.0018
1429645197,42.9974
1429645494,42.9938
1429645741,42.9890
1429646095,42.9836
1429646399,42.9786
1429646400,42.9734
1429709692,42.9626
1429709994,42.9498
1429710299,42.9430
1429710540,42.9350
1429710881,42.9312
1429711198,42.9262
1429711498,42.9162
1429711741,42.9054
1429712092,42.8974
1429712398,42.8884
1429712699,42.8802
1429712998,42.8718
1429713261,42.8648
1429713583,42.8565
1429713897,42.8504
1429714199,42.8436
1429714444,42.8376
1429714799,42.8310
1429715094,42.8240
1429715340,42.8176
1429715645,42.8123
1429715998,42.8065
1429716246,42.8015
1429716593,42.7955
1429716895,42.7901
1429717141,42.7853
1429717485,42.7803
1429717746,42.7753
1429718044,42.7701
1429718399,42.7649
1429718660,42.7580
1429718949,42.7506
1429719298,42.7440
1429719592,42.7379
1429719882,42.7313
1429720175,42.7245
1429720468,42.7171
1429720783,42.7107
1429721092,42.7039
1429721302,42.6973
1429721687,42.6907
1429721946,42.6843
1429722266,42.6783
1429722546,42.6725
1429722840,42.6664
1429723194,42.6606
1429723445,42.6550
1429723749,42.6494
1429724050,42.6438
1429724343,42.6388
1429724652,42.6405
1429724995,42.6469
1429725242,42.6482
1429725593,42.6516
1429725876,42.6526
1429726199,42.6535
1429726497,42.6570
1429726790,42.6614
1429727090,42.6624
1429727360,42.6656
1429727697,42.6688
1429727953,42.6724
1429728299,42.6758
1429728597,42.6801
1429728866,42.6811
1429729142,42.6815
1429729491,42.6829
1429729799,42.6857
1429730084,42.6873
1429730356,42.6874
1429730696,42.6884
1429730999,42.6903
1429731297,42.6920
1429731597,42.6930
